fileName,sample,individual,tissue,raw.single.reads
G56254.GTEX-13112-0011-R5b.2,GTEX-13112-0011-R5b-SM-5DUV8,GTEX-13112,Brain - Caudate (basal ganglia),70066666
G62434.GTEX-14E7W-0006.2,GTEX-14E7W-0006-SM-5N9GG,GTEX-14E7W,Whole Blood,94613333
G25695.GTEX-NFK9-0326-SM-3MJGV.1,GTEX-NFK9-0326-SM-3MJGV,GTEX-NFK9,Adipose - Subcutaneous,114480000
G65595.GTEX-13SLW-0011-R8b.3,GTEX-13SLW-0011-R8b-SM-5SI64,GTEX-13SLW,Brain - Hypothalamus,76933333
G63111.GTEX-13X6J-0011-R6a.2,GTEX-13X6J-0011-R6a-SM-5PNUB,GTEX-13X6J,Brain - Nucleus accumbens (basal ganglia),88933333
G59086.GTEX-11ZTT-0626.6,GTEX-11ZTT-0626-SM-5EQLM,GTEX-11ZTT,Lung,92333333
G21089.GTEX-T6MO-1726-SM-33HB8.1,GTEX-T6MO-1726-SM-33HB8,GTEX-T6MO,Adipose - Subcutaneous,145826666
G25938.GTEX-QMRM-0826-SM-3NB33.2,GTEX-QMRM-0826-SM-3NB33,GTEX-QMRM,Lung,117680000
G61871.GTEX-148VJ-0626.2,GTEX-148VJ-0626-SM-5LUAW,GTEX-148VJ,Skin - Not Sun Exposed (Suprapubic),62506666
G63137.GTEX-11EQ9-1626.2,GTEX-11EQ9-1626-SM-5PNY8,GTEX-11EQ9,Skin - Not Sun Exposed (Suprapubic),94640000
G60786.GTEX-13O3O-0011-R11b.2,GTEX-13O3O-0011-R11b-SM-5KM4G,GTEX-13O3O,Brain - Cerebellar Hemisphere,79933333
G49275.GTEX-Y3IK-1426.2,GTEX-Y3IK-1426-SM-4YCES,GTEX-Y3IK,Stomach,68706666
G65668.GTEX-13QJC-0011-R6a.2,GTEX-13QJC-0011-R6a-SM-5S2VI,GTEX-13QJC,Brain - Nucleus accumbens (basal ganglia),94706666
G64236.GTEX-145MN-0226.1,GTEX-145MN-0226-SM-5QGPY,GTEX-145MN,Adrenal Gland,62080000
G65125.GTEX-Y5LM-2326.2,GTEX-Y5LM-2326-SM-5S2NK,GTEX-Y5LM,Artery - Tibial,64613333
G34751.GTEX-XV7Q-2926-SM-4BRUL.1,GTEX-XV7Q-2926-SM-4BRUL,GTEX-XV7Q,Muscle - Skeletal,60026666
G35337.GTEX-TKQ1-1326-SM-4DXU7.7,GTEX-TKQ1-1326-SM-4DXU7,GTEX-TKQ1,Nerve - Tibial,60080000
G60048.GTEX-13PL7-2026.1,GTEX-13PL7-2026-SM-5IFGK,GTEX-13PL7,Uterus,83280000
G65657.GTEX-14753-0011-R10b.2,GTEX-14753-0011-R10b-SM-5S2WE,GTEX-14753,Brain - Frontal Cortex (BA9),84173333
G39658.GTEX-UJMC-1326-SM-4IHLS.2,GTEX-UJMC-1326-SM-4IHLS,GTEX-UJMC,Colon - Transverse,72026666
G39761.GTEX-V955-1826-SM-4JBIL.1,GTEX-V955-1826-SM-4JBIL,GTEX-V955,Prostate,78973333
G62565.GTEX-ZU9S-1926.2,GTEX-ZU9S-1926-SM-5NQBP,GTEX-ZU9S,Breast - Mammary Tissue,114573333
G60837.GTEX-1339X-0726.2,GTEX-1339X-0726-SM-5L3FF,GTEX-1339X,Adipose - Visceral (Omentum),67826666
G18415.GTEX-QMRM-1726-SM-2S1QG.1,GTEX-QMRM-1726-SM-2S1QG,GTEX-QMRM,Adipose - Subcutaneous,45600000
